Sex,Team,NOC,Games,Year,Season,City,Sport,Medal
M,France,FRA,1996 Summer,1996,Summer,Atlanta,Athletics,Gold
M,Tunisia,TUN,1964 Summer,1964,Summer,Tokyo,Boxing,Bronze
M,Italy,ITA,2004 Summer,2004,Summer,Athina,Archery,Gold
M,Italy,ITA,2008 Summer,2008,Summer,Beijing,Archery,Silver
M,Italy,ITA,2012 Summer,2012,Summer,London,Archery,Gold
M,India,IND,1936 Summer,1936,Summer,Berlin,Hockey,Gold
M,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Football,Gold
M,Italy,ITA,1924 Summer,1924,Summer,Paris,Weightlifting,Gold
M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Silver
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Weightlifting,Silver
F,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Silver
M,United States,USA,1928 Summer,1928,Summer,Amsterdam,Diving,Silver
M,United States,USA,1928 Summer,1928,Summer,Amsterdam,Diving,Bronze
M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Diving,Gold
M,United States,USA,1932 Summer,1932,Summer,Los Angeles,Diving,Silver
F,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gold
F,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Gymnastics,Silver
F,Russia,RUS,2004 Summer,2004,Summer,Athina,Shooting,Silver
F,Russia,RUS,2004 Summer,2004,Summer,Athina,Shooting,Gold
F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Shooting,Silver
M,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Canoeing,Bronze
M,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Bronze
F,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Silver
F,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Bronze
M,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rowing,Gold
M,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Silver
F,Peru,PER,1988 Summer,1988,Summer,Seoul,Volleyball,Silver
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Wrestling,Bronze
M,Italy,ITA,1948 Summer,1948,Summer,London,Wrestling,Bronze
M,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Silver
M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Bronze
M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Bronze
M,Russia,RUS,2012 Summer,2012,Summer,London,Judo,Gold
M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Bronze
M,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Gold
M,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Bronze
M,Italy,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Silver
F,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Gold
F,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Volleyball,Gold
M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Silver
F,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Gold
M,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Football,Silver
M,Venezuela,VEN,1976 Summer,1976,Summer,Montreal,Boxing,Silver
M,Italy,ITA,1980 Summer,1980,Summer,Moskva,Judo,Gold
M,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Judo,Silver
F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Silver
M,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Water Polo,Bronze
M,United States-4,USA,1904 Summer,1904,Summer,St. Louis,Tennis,Bronze
M,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Gold
M,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Cycling,Bronze
M,United States,USA,1952 Winter,1952,Winter,Oslo,Ice Hockey,Silver
M,Tunisia,TUN,1964 Summer,1964,Summer,Tokyo,Athletics,Silver
M,Tunisia,TUN,1968 Summer,1968,Summer,Mexico City,Athletics,Gold
M,Tunisia,TUN,1968 Summer,1968,Summer,Mexico City,Athletics,Bronze
M,Tunisia,TUN,1972 Summer,1972,Summer,Munich,Athletics,Silver
F,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Silver
F,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Silver
M,France,FRA,1920 Summer,1920,Summer,Antwerpen,Weightlifting,Gold
M,France,FRA,1948 Summer,1948,Summer,London,Canoeing,Bronze
M,France,FRA,1948 Summer,1948,Summer,London,Canoeing,Bronze
M,Denmark,DEN,1908 Summer,1908,Summer,London,Football,Silver
M,Italy,ITA,1906 Summer,1906,Summer,Athina,Fencing,Silver
M,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Cycling,Gold
M,Austria,AUT,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Silver
F,Italy,ITA,1988 Summer,1988,Summer,Seoul,Fencing,Silver
M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Water Polo,Gold
M,France,FRA,2000 Summer,2000,Summer,Sydney,Cycling,Gold
M,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,Bronze
M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,Bronze
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,Bronze
F,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Shooting,Silver
M,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Hockey,Silver
M,South Korea-1,KOR,1992 Summer,1992,Summer,Barcelona,Table Tennis,Bronze
M,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Handball,Silver
M,South Korea,KOR,1952 Summer,1952,Summer,Helsinki,Boxing,Bronze
M,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Baseball,Gold
F,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,Gold
M,France,FRA,1924 Summer,1924,Summer,Paris,Gymnastics,Silver
M,France,FRA,1924 Summer,1924,Summer,Paris,Gymnastics,Silver
M,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Gold
M,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Silver
M,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Silver
M,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Handball,Bronze
M,France,FRA,1952 Summer,1952,Summer,Helsinki,Canoeing,Bronze
M,East Germany,GDR,1972 Summer,1972,Summer,Munich,Football,Bronze
F,China,CHN,2000 Summer,2000,Summer,Sydney,Shooting,Bronze
F,China,CHN,2004 Summer,2004,Summer,Athina,Shooting,Bronze
F,China,CHN,2004 Summer,2004,Summer,Athina,Judo,Bronze
F,China,CHN,1996 Summer,1996,Summer,Atlanta,Football,Silver
F,China,CHN,2000 Summer,2000,Summer,Sydney,Shooting,Bronze
F,China-1,CHN,1992 Summer,1992,Summer,Barcelona,Table Tennis,Silver
F,China,CHN,2008 Summer,2008,Summer,Beijing,Hockey,Silver
F,China-2,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Gold
F,China-1,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Bronze
F,China-2,CHN,2004 Summer,2004,Summer,Athina,Badminton,Gold
F,China,CHN,2004 Summer,2004,Summer,Athina,Badminton,Silver
F,China,CHN,1988 Summer,1988,Summer,Seoul,Diving,Gold
F,China,CHN,1992 Summer,1992,Summer,Barcelona,Diving,Gold
F,China,CHN,1984 Summer,1984,Summer,Los Angeles,Handball,Bronze
F,China,CHN,2008 Summer,2008,Summer,Beijing,Rowing,Silver
F,France,FRA,1976 Summer,1976,Summer,Montreal,Fencing,Silver
F,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Archery,Bronze
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Handball,Bronze
M,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Shooting,Silver
M,France,FRA,1984 Summer,1984,Summer,Los Angeles,Football,Gold
M,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Bronze
M,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Bronze
F,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Bronze
F,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Bronze
M,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Bronze
F,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Silver
F,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Gold
F,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Bronze
F,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Gold
M,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Gold
F,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Gold
M,Hungary,HUN,1924 Summer,1924,Summer,Paris,Fencing,Bronze
M,Hungary,HUN,1924 Summer,1924,Summer,Paris,Fencing,Silver
M,Hungary,HUN,1928 Summer,1928,Summer,Amsterdam,Fencing,Gold
F,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Fencing,Bronze
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Silver
M,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Boxing,Silver
M,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Boxing,Bronze
F,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,Bronze
F,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,Silver
M,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Gold
M,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Boxing,Bronze
M,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Silver
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Water Polo,Bronze
F,Canada,CAN,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Bronze
M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Gold
M,Cuba,CUB,2004 Summer,2004,Summer,Athina,Athletics,Bronze
M,Uruguay,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Bronze
M,Uruguay,URU,1956 Summer,1956,Summer,Melbourne,Basketball,Bronze
M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Fencing,Silver
M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Bronze
M,Mexico,MEX,2012 Summer,2012,Summer,London,Diving,Silver
M,Spain,ESP,1948 Summer,1948,Summer,London,Equestrianism,Silver
M,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze
M,Spain,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Silver
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Handball,Bronze
M,Spain,ESP,1928 Summer,1928,Summer,Amsterdam,Equestrianism,Gold
F,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Silver
M,Spain,ESP,2012 Summer,2012,Summer,London,Taekwondo,Silver
M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Fencing,Silver
M,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Fencing,Bronze
M,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Water Polo,Silver
M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Gold
F,Peru,PER,1988 Summer,1988,Summer,Seoul,Volleyball,Silver
M,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Gold
F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Silver
F,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Bronze
F,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Bronze
M,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Volleyball,Bronze
M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Silver
M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Hockey,Silver
M,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,Gold
M,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Gold
M,France,FRA,1992 Summer,1992,Summer,Barcelona,Handball,Bronze
M,France,FRA,1936 Summer,1936,Summer,Berlin,Fencing,Silver
M,France,FRA,1932 Summer,1932,Summer,Los Angeles,Fencing,Gold
M,France,FRA,1936 Summer,1936,Summer,Berlin,Fencing,Silver
M,France,FRA,1936 Summer,1936,Summer,Berlin,Fencing,Silver
M,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Gold
M,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Gold
M,Sweden,SWE,1948 Summer,1948,Summer,London,Modern Pentathlon,Bronze
M,Mouchette-2,GBR,1908 Summer,1908,Summer,London,Sailing,Silver
M,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Silver
M,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Volleyball,Silver
M,Italy,ITA,2000 Summer,2000,Summer,Sydney,Volleyball,Bronze
M,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Gold
M,West Indies Federation,WIF,1960 Summer,1960,Summer,Roma,Athletics,Bronze
F,Great Britain,GBR,1948 Summer,1948,Summer,London,Athletics,Silver
M,United States,USA,2000 Summer,2000,Summer,Sydney,Wrestling,Gold
M,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,Bronze
M,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Wrestling,Gold
M,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Wrestling,Bronze
F,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Silver
F,Germany,GER,2004 Summer,2004,Summer,Athina,Football,Bronze
F,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Bronze
M,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Sailing,Bronze
M,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Fencing,Gold
M,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Boxing,Bronze
M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze
F,France,FRA,1956 Summer,1956,Summer,Melbourne,Fencing,Bronze
F,United States,USA,2000 Summer,2000,Summer,Sydney,Rowing,Bronze
M,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Gold
M,USFSA,FRA,1900 Summer,1900,Summer,Paris,Football,Silver
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Silver
M,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Gymnastics,Silver
M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Bronze
M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Bronze
M,Spain,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Silver
M,Australia,AUS,1948 Summer,1948,Summer,London,Wrestling,Silver
M,Belgium,BEL,1936 Summer,1936,Summer,Berlin,Cycling,Bronze
M,United States,USA,1908 Summer,1908,Summer,London,Athletics,Silver
M,United States,USA,1908 Summer,1908,Summer,London,Athletics,Bronze
M,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Silver
M,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Silver
M,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Gold
M,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Gold
M,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Bronze
M,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Bronze
M,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Gold
M,Italy,ITA,2004 Summer,2004,Summer,Athina,Basketball,Silver
M,United States,USA,1968 Summer,1968,Summer,Mexico City,Shooting,Silver
M,United States,USA,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Silver
M,United States,USA,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Bronze
F,United States,USA,1988 Summer,1988,Summer,Seoul,Tennis,Bronze
F,United States,USA,1988 Summer,1988,Summer,Seoul,Tennis,Gold
M,Switzerland-2,SUI,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,Gold
M,Leander Club-1,GBR,1912 Summer,1912,Summer,Stockholm,Rowing,Gold
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Silver
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Rowing,Silver
M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Rowing,Silver
M,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Boxing,Bronze
M,Italy,ITA,2004 Summer,2004,Summer,Athina,Football,Bronze
M,Poland,POL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Nordic Combined,Bronze
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Silver
M,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Silver
M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Silver
M,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Silver
M,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Cycling,Gold
M,Italy,ITA,1960 Summer,1960,Summer,Roma,Cycling,Bronze
M,France-2,FRA,2012 Summer,2012,Summer,London,Tennis,Bronze
M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Bronze
M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Handball,Gold
M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Fencing,Bronze
M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Silver
M,New Zealand,NZL,2012 Summer,2012,Summer,London,Cycling,Bronze
M,India,IND,1928 Summer,1928,Summer,Amsterdam,Hockey,Gold
M,United States,USA,1948 Summer,1948,Summer,London,Rowing,Bronze
M,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Silver
M,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Bronze
M,France,FRA,1992 Summer,1992,Summer,Barcelona,Table Tennis,Silver
M,France-1,FRA,2000 Summer,2000,Summer,Sydney,Table Tennis,Bronze
M,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Gold
M,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Bronze
M,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Silver
M,United States,USA,2012 Summer,2012,Summer,London,Athletics,Bronze
F,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Volleyball,Gold
F,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Volleyball,Gold
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Wrestling,Gold
M,United States,USA,2004 Summer,2004,Summer,Athina,Gymnastics,Silver
M,Romania,ROU,1972 Summer,1972,Summer,Munich,Handball,Bronze
M,Romania,ROU,1976 Summer,1976,Summer,Montreal,Handball,Silver
M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Gold
M,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Bronze
M,France,FRA,1900 Summer,1900,Summer,Paris,Rowing,Silver
M,France,FRA,1920 Summer,1920,Summer,Antwerpen,Fencing,Silver
M,France,FRA,1924 Summer,1924,Summer,Paris,Fencing,Gold
M,France,FRA,1924 Summer,1924,Summer,Paris,Fencing,Gold
M,France,FRA,1928 Summer,1928,Summer,Amsterdam,Fencing,Gold
M,France,FRA,1928 Summer,1928,Summer,Amsterdam,Fencing,Silver
M,France,FRA,1928 Summer,1928,Summer,Amsterdam,Fencing,Gold
M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,Bronze
M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,Gold
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Bronze
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Silver
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Silver
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Silver
M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Fencing,Gold
M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Fencing,Gold
M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Fencing,Silver
M,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Bronze
M,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Bronze
M,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Gold
F,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Bronze
M,Denmark,DEN,1924 Summer,1924,Summer,Paris,Art Competitions,Bronze
M,United States,USA,2012 Summer,2012,Summer,London,Rowing,Bronze
M,France,FRA,1992 Summer,1992,Summer,Barcelona,Cycling,Bronze
M,Namoussa,FRA,1924 Summer,1924,Summer,Paris,Sailing,Bronze
M,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Gold
M,France,FRA,1952 Summer,1952,Summer,Helsinki,Rowing,Silver
M,Switzerland,SUI,1924 Winter,1924,Winter,Chamonix,Figure Skating,Bronze
M,Spain,ESP,1948 Summer,1948,Summer,London,Equestrianism,Silver
F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Gold
M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Bronze
M,Greece,GRE,1980 Summer,1980,Summer,Moskva,Sailing,Bronze
M,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Football,Bronze
F,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Gold
F,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Bronze
F,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Gold
F,Russia,RUS,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Gold
F,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Speed Skating,Gold
M,Poland,POL,1976 Summer,1976,Summer,Montreal,Shooting,Bronze
M,Poland,POL,1976 Summer,1976,Summer,Montreal,Volleyball,Gold
M,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Diving,Silver
M,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Bronze
M,Russia,RUS,2000 Summer,2000,Summer,Sydney,Boxing,Silver
M,Russia,RUS,2004 Summer,2004,Summer,Athina,Boxing,Gold
M,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Wrestling,Bronze
M,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Football,Silver
M,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,Gold
F,Canada,CAN,2012 Summer,2012,Summer,London,Football,Bronze
M,England-1,GBR,1912 Summer,1912,Summer,Stockholm,Cycling,Silver
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gold
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Silver
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Bronze
M,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Bronze
M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Shooting,Gold
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Shooting,Bronze
M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Football,Bronze
M,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Polo,Gold
F,China-2,CHN,1996 Summer,1996,Summer,Atlanta,Badminton,Gold
F,China-2,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Gold
M,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,Silver
M,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Gymnastics,Silver
M,United States,USA,1988 Summer,1988,Summer,Seoul,Sailing,Bronze
M,United States,USA,1992 Summer,1992,Summer,Barcelona,Sailing,Silver
M,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Silver
M,Ethiopia,ETH,1996 Summer,1996,Summer,Atlanta,Athletics,Gold
M,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Gold
F,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,Silver
M,Hungary,HUN,1972 Summer,1972,Summer,Munich,Football,Silver
M,Tornado,SWE,1952 Summer,1952,Summer,Helsinki,Sailing,Silver
M,Great Britain,GBR,1956 Summer,1956,Summer,Melbourne,Cycling,Bronze
M,Hungary,HUN,1972 Summer,1972,Summer,Munich,Boxing,Gold
M,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,Bronze
M,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,Bronze
M,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Fencing,Gold
F,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Silver
M,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Hockey,Gold
M,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Judo,Gold
M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Wrestling,Gold
M,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Wrestling,Bronze
F,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Bronze
M,Switzerland-2,SUI,1932 Winter,1932,Winter,Lake Placid,Bobsleigh,Silver
M,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Gold
F,Netherlands,NED,1968 Winter,1968,Winter,Grenoble,Speed Skating,Gold
F,Netherlands,NED,1968 Winter,1968,Winter,Grenoble,Speed Skating,Silver
M,Iceland,ISL,2008 Summer,2008,Summer,Beijing,Handball,Silver
F,Germany,GER,2010 Winter,2010,Winter,Vancouver,Luge,Bronze
F,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Luge,Silver
F,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Gold
M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Football,Bronze
M,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Bronze
M,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Bronze
F,Belarus,BLR,2004 Summer,2004,Summer,Athina,Rowing,Bronze
F,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Rowing,Bronze
F,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Gold
M,Great Britain,GBR,1948 Summer,1948,Summer,London,Cycling,Bronze
M,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Football,Gold
M,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Silver
F,Italy,ITA,2000 Summer,2000,Summer,Sydney,Shooting,Silver
M,Pupilles de Neptune de Lille #2-1,FRA,1900 Summer,1900,Summer,Paris,Water Polo,Bronze
M,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Gymnastics,Silver
M,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Rowing,Silver
M,Turkey,TUR,1952 Summer,1952,Summer,Helsinki,Wrestling,Gold
M,Brazil,BRA,1948 Summer,1948,Summer,London,Basketball,Bronze
M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Equestrianism,Gold
M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Equestrianism,Silver
M,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Gold
F,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Canoeing,Gold
M,Turkey,TUR,1988 Summer,1988,Summer,Seoul,Wrestling,Silver
